HTH,M,S,V,AGE,ANCESTRY,SEX,AS,SAMPLE,Temporal
11-98D,5,4,4,49,0,1,1,1,Modern
15-89D,5,3,4,56,0,1,1,1,Modern
15-90D,4,3,3,54,0,1,1,1,Modern
15-91D,4,2,2,51,0,1,1,1,Modern
15-93D,5,5,5,84,0,1,1,1,Modern
17-00D,4,4,4,35,0,1,1,1,Modern
18-88D,3,4,5,N/A,0,1,1,1,Modern
18-90D,4,4,4,27,0,1,1,1,Modern
19-94D,4,4,4,54,0,1,1,1,Modern
21-92D,4,2,5,25,0,1,1,1,Modern
23-03D,5,4,4,68,0,1,1,1,Modern
25-95D,3,3,5,N/A,0,1,1,1,Modern
30-01D,3,4,3,64,0,1,1,1,Modern
31-93D,5,4,4,68,0,1,1,1,Modern
40-04D,5,3,4,49,0,1,1,1,Modern
46-03D,4,4,5,23,0,1,1,1,Modern
53-05D,4,4,4,43,0,1,1,1,Modern
54-06D,4,4,4,43,0,1,1,1,Modern
67-04D,3,4,4,N/A,0,1,1,1,Modern
71-05D,5,4,3,72,0,1,1,1,Modern
75-06D,5,5,4,47,0,1,1,1,Modern
01-00D,4,4,5,41,1,1,3,1,Modern
01-81D,4,5,5,73,1,1,3,1,Modern
01-82D,4,5,4,55,1,1,3,1,Modern
01-87D,4,2,2,39,1,1,3,1,Modern
02-83D,4,5,5,55,1,1,3,1,Modern
02-87D,4,5,4,75,1,1,3,1,Modern
03-90D,3,3,4,43,1,1,3,1,Modern
03-93D,4,4,5,56,1,1,3,1,Modern
04-87D,3,2,3,55,1,1,3,1,Modern
04-88D,5,3,4,50,1,1,3,1,Modern
06-06D,5,3,5,43,1,1,3,1,Modern
06-91D,4,3,5,65,1,1,3,1,Modern
07-00D,2,3,3,38,1,1,3,1,Modern
07-86D,4,4,2,67,1,1,3,1,Modern
07-87D,2,3,4,58,1,1,3,1,Modern
07-89D,4,4,5,50,1,1,3,1,Modern
07-91D,4,3,4,63,1,1,3,1,Modern
08-87D,5,5,4,25,1,1,3,1,Modern
08-89D,4,4,4,66,1,1,3,1,Modern
09-06D,4,4,5,35,1,1,3,1,Modern
09-88D,5,5,3,58,1,1,3,1,Modern
10-87D,3,3,5,76,1,1,3,1,Modern
10-88D,3,4,4,49,1,1,3,1,Modern
10-89D,4,4,5,50,1,1,3,1,Modern
10-91D,4,3,3,35,1,1,3,1,Modern
12-87D,4,1,2,82,1,1,3,1,Modern
12-88D,3,4,3,47,1,1,3,1,Modern
13-88D,4,4,5,31,1,1,3,1,Modern
14-87D,4,3,4,50,1,1,3,1,Modern
14-88D,2,4,3,56,1,1,3,1,Modern
14-93D,4,4,3,32,1,1,3,1,Modern
16-89D,3,4,4,30-35,1,1,3,1,Modern
17-91D,3,2,2,26,1,1,3,1,Modern
18-06D,4,3,4,81,1,1,3,1,Modern
19-88D,3,4,4,46,1,1,3,1,Modern
19-91D,3,3,3,41,1,1,3,1,Modern
19-92D,1,2,3,27,1,1,3,1,Modern
20-90D,4,5,3,29,1,1,3,1,Modern
20-92D,4,4,4,71,1,1,3,1,Modern
24-88D,4,3,4,68,1,1,3,1,Modern
29-00D,4,4,4,39,1,1,3,1,Modern
49-05D,5,4,5,65,1,1,3,1,Modern
56-05D,5,2,3,63,1,1,3,1,Modern
58-05D,5,4,4,53,1,1,3,1,Modern
90-05D,4,4,4,52,1,1,3,1,Modern
93-05D,1,1,1,64,1,1,3,1,Modern
1046,3,1,3,24,0,0,0,0,Historic
1089,4,1,1,31,1,0,2,0,Historic
111,3,2,2,45,1,0,2,0,Historic
1119,3,3,2,35,1,0,2,0,Historic
1162,3,2,2,28,1,0,2,0,Historic
1208,2,1,2,23,0,0,0,0,Historic
1243,3,3,2,24,0,0,0,0,Historic
1253,3,1,1,31,1,0,2,0,Historic
1324,4,2,2,49,1,0,2,0,Historic
1328,2,2,3,19,0,0,0,0,Historic
1339,2,3,2,20,0,0,0,0,Historic
1369,3,3,3,25,1,0,2,0,Historic
1427,3,2,1,28,0,0,0,0,Historic
1489,4,1,1,38,0,0,0,0,Historic
1534,1,1,2,45,0,0,0,0,Historic
1547,3,1,1,23,0,0,0,0,Historic
1580,2,1,1,31,0,0,0,0,Historic
1600,3,2,2,28,0,0,0,0,Historic
1601,3,2,2,48,1,0,2,0,Historic
1617,3,2,3,22,0,0,0,0,Historic
1622,1,1,3,27,0,0,0,0,Historic
1647,4,2,2,63,1,0,2,0,Historic
1665,3,2,2,65,1,0,2,0,Historic
1680,4,4,3,80,1,0,2,0,Historic
1702,3,2,2,71,0,0,0,0,Historic
1705,4,4,4,85,0,0,0,0,Historic
1709,3,2,2,25,0,0,0,0,Historic
1744,3,2,3,49,0,0,0,0,Historic
1747,3,2,1,34,1,0,2,0,Historic
1748,2,2,2,44,0,0,0,0,Historic
1846,4,2,2,53,1,0,2,0,Historic
2184,3,2,2,64,1,0,2,0,Historic
22,3,2,1,60,1,0,2,0,Historic
2254,3,2,1,38,1,0,2,0,Historic
2515,2,1,1,58,1,0,2,0,Historic
2516,3,1,2,31,0,0,0,0,Historic
2561,4,4,3,35,0,0,0,0,Historic
2595,4,2,2,48,0,0,0,0,Historic
2597,4,2,2,34,0,0,0,0,Historic
2660,3,2,2,51,0,0,0,0,Historic
2843,3,2,2,29,0,0,0,0,Historic
2845,3,2,2,20,0,0,0,0,Historic
2848,2,2,2,28,0,0,0,0,Historic
3058,4,2,2,55,0,0,0,0,Historic
3159,2,2,2,33,0,0,0,0,Historic
3182,4,3,3,48,0,0,0,0,Historic
3186,3,2,2,65,1,0,2,0,Historic
3221,2,2,3,26,0,0,0,0,Historic
3223,3,3,3,32,0,0,0,0,Historic
324,3,1,2,43,1,0,2,0,Historic
3244,3,2,2,50,1,0,2,0,Historic
3269,2,2,3,42,0,0,0,0,Historic
3283,3,2,3,66,1,0,2,0,Historic
3323,5,2,2,77,0,0,0,0,Historic
3336,3,2,3,33,0,0,0,0,Historic
3340,3,4,3,45,1,0,2,0,Historic
3352,4,4,2,54,1,0,2,0,Historic
3357,2,4,4,87,0,0,0,0,Historic
3378,4,3,4,45,0,0,0,0,Historic
3391,3,1,2,53,0,0,0,0,Historic
340,4,5,3,72,1,0,2,0,Historic
3581,1,2,2,46,0,0,0,0,Historic
3699,2,1,2,19,1,0,2,0,Historic
514,2,1,2,30,1,0,2,0,Historic
517,4,2,2,45,1,0,2,0,Historic
53,3,2,2,35,1,0,2,0,Historic
536,3,2,3,30,1,0,2,0,Historic
54,1,1,2,20,1,0,2,0,Historic
541,4,3,2,60,1,0,2,0,Historic
552,4,3,2,36,1,0,2,0,Historic
572,2,1,1,56,1,0,2,0,Historic
604,4,2,2,25,1,0,2,0,Historic
644,3,2,3,29,1,0,2,0,Historic
673,3,2,3,38,0,0,0,0,Historic
700,2,1,3,39,1,0,2,0,Historic
715,3,2,1,47,1,0,2,0,Historic
751,4,4,2,65,0,0,0,0,Historic
774,3,3,2,38,1,0,2,0,Historic
781,2,1,1,23,1,0,2,0,Historic
839,4,2,3,60,0,0,0,0,Historic
886,2,2,2,32,1,0,2,0,Historic
893,1,1,1,51,1,0,2,0,Historic
901,4,1,1,55,1,0,2,0,Historic
114,4,5,5,74,1,1,3,0,Historic
130,4,4,4,39,1,1,3,0,Historic
142,4,4,4,30,1,1,3,0,Historic
1575,4,3,5,20,0,1,1,0,Historic
1597,5,5,5,57,1,1,3,0,Historic
1618,4,5,5,39,0,1,1,0,Historic
1782,3,3,5,21,0,1,1,0,Historic
1804,4,4,4,35,0,1,1,0,Historic
1827,5,5,5,54,0,1,1,0,Historic
2556,4,3,3,47,1,1,3,0,Historic
2578,3,4,5,26,0,1,1,0,Historic
2579,5,5,5,55,1,1,3,0,Historic
2624,3,4,4,40,1,1,3,0,Historic
267,4,4,3,25,1,1,3,0,Historic
2702,4,4,4,54,1,1,3,0,Historic
2722,4,3,3,54,0,1,1,0,Historic
287,4,4,3,30,1,1,3,0,Historic
2927,5,5,4,30,0,1,1,0,Historic
31,4,5,5,48,0,1,1,0,Historic
3139,3,4,3,45,1,1,3,0,Historic
3306,5,5,5,63,0,1,1,0,Historic
3311,5,5,4,54,0,1,1,0,Historic
3328,4,4,5,44,1,1,3,0,Historic
3331,4,5,4,59,1,1,3,0,Historic
3335,4,5,4,66,1,1,3,0,Historic
3344,4,2,4,52,1,1,3,0,Historic
3349,5,5,5,74,0,1,1,0,Historic
3356,3,4,4,51,0,1,1,0,Historic
3364,5,5,4,55,1,1,3,0,Historic
3392,4,5,5,68,1,1,3,0,Historic
343,3,4,4,30,0,1,1,0,Historic
361,3,4,4,35,1,1,3,0,Historic
364,4,4,5,45,1,1,3,0,Historic
383,3,4,4,35,1,1,3,0,Historic
384,5,5,5,55,1,1,3,0,Historic
386,4,4,3,30,1,1,3,0,Historic
388,4,4,3,38,0,1,1,0,Historic
399,4,4,3,70,0,1,1,0,Historic
400,4,4,5,56,0,1,1,0,Historic
401,4,5,4,54,1,1,3,0,Historic
402,4,4,5,29,0,1,1,0,Historic
405,4,3,5,68,1,1,3,0,Historic
422,4,4,5,76,0,1,1,0,Historic
444,4,3,5,45,1,1,3,0,Historic
446,4,4,4,65,1,1,3,0,Historic
447,4,3,4,40,1,1,3,0,Historic
448,3,4,5,31,0,1,1,0,Historic
467,5,5,4,45,1,1,3,0,Historic
468,5,5,4,51,1,1,3,0,Historic
486,4,5,5,32,0,1,1,0,Historic
489,4,5,4,34,1,1,3,0,Historic
497,3,2,5,24,0,1,1,0,Historic
500,5,5,5,35,1,1,3,0,Historic
502,3,4,3,28,0,1,1,0,Historic
506,4,2,5,35,0,1,1,0,Historic
507,4,4,4,49,1,1,3,0,Historic
51,4,5,5,87,1,1,3,0,Historic
523,3,5,5,24,0,1,1,0,Historic
524,4,4,4,34,0,1,1,0,Historic
525,3,4,5,22,0,1,1,0,Historic
563,4,4,4,19,0,1,1,0,Historic
568,4,3,5,29,0,1,1,0,Historic
569,4,5,4,29,0,1,1,0,Historic
606,4,4,3,39,0,1,1,0,Historic
607,4,4,5,49,0,1,1,0,Historic
646,4,4,3,40,0,1,1,0,Historic
648,5,5,4,50,1,1,3,0,Historic
678,4,5,5,38,1,1,3,0,Historic
680,3,3,3,23,1,1,3,0,Historic
682,5,4,5,39,0,1,1,0,Historic
69,4,4,4,40,1,1,3,0,Historic
698,4,2,4,22,0,1,1,0,Historic
699,4,3,3,48,0,1,1,0,Historic
701,4,5,5,47,1,1,3,0,Historic
705,3,4,4,33,0,1,1,0,Historic
711,4,4,5,47,1,1,3,0,Historic
712,4,4,4,29,1,1,3,0,Historic
717,4,5,3,45,1,1,3,0,Historic
718,4,5,5,39,0,1,1,0,Historic
725,3,4,3,47,0,1,1,0,Historic
736,4,4,3,40,0,1,1,0,Historic
74,3,2,4,35,0,1,1,0,Historic
825,4,5,4,21,0,1,1,0,Historic
843,4,4,3,48,1,1,3,0,Historic
93,4,4,5,30,0,1,1,0,Historic
971,5,4,5,45,0,1,1,0,Historic
999,3,4,4,44,1,1,3,0,Historic
