cat_num,age_y,height(cm),weight (kg)
552,1.67,77.00,8.42
693,1.32,77.50,48.00
1055,1.45,78.00,13.35
1136,1.18,78.00,10.30
1209,2.60,78.00,8.70
1287,1.54,78.00,10.20
552,1.65,78.50,7.98
552,1.82,79.00,8.72
1233,2.10,79.50,9.18
1111,#VALUE!,80.00,9.30
1115,2.86,80.00,10.00
1194,1.30,80.00,12.00
1215,1.58,80.00,9.81
1359,1.36,80.00,10.20
1308,1.39,80.50,9.50
552,1.91,81.00,9.00
552,1.98,81.00,9.00
1290,2.65,81.00,10.00
1305,1.72,81.00,8.70
1359,1.82,81.00,10.60
250,1.40,82.00,11.60
552,2.06,82.50,8.90
1123,1.74,82.50,10.95
21,2.47,83.00,9.90
21,2.51,83.00,10.18
21,2.51,83.00,10.10
21,2.52,83.00,10.00
21,2.53,83.00,10.54
1294,#VALUE!,83.00,10.30
450,0.90,84.00,11.00
552,2.15,84.00,9.70
1143,2.47,85.00,14.30
1198,#VALUE!,85.00,11.00
1218,#VALUE!,85.00,14.70
1147,#VALUE!,85.30,12.40
250,1.85,85.50,NA
55,2.22,86.00,NA
55,2.14,86.00,11.70
55,2.15,86.00,11.70
55,2.15,86.00,10.60
1246,3.61,86.00,16.90
1266,#VALUE!,86.00,12.10
552,2.52,86.50,10.80
302,3.43,87.00,11.00
552,2.68,87.00,10.70
639,1.67,87.00,9.49
1145,2.61,87.00,13.00
552,2.67,87.50,10.20
1208,#VALUE!,87.50,11.20
250,2.35,88.00,16.00
862,2.12,88.00,13.00
1219,#VALUE!,88.00,43.00
77,1.86,89.00,12.00
77,1.95,89.00,12.80
802,2.96,89.00,NA
77,2.13,90.00,16.00
1119,1.86,90.00,12.50
1166,2.02,90.00,19.00
1202,2.94,90.00,15.10
1220,#VALUE!,90.00,16.00
1242,2.56,90.00,25.00
1255,#VALUE!,90.00,14.00
1259,#VALUE!,90.00,15.20
55,2.38,91.00,NA
55,2.55,91.00,
55,2.43,91.00,11.00
55,2.44,91.00,11.20
55,2.45,91.00,11.40
55,2.56,91.00,13.10
1195,2.23,91.70,16.50
1151,#VALUE!,92.00,9.70
1191,#VALUE!,92.00,16.00
1241,#VALUE!,92.00,11.00
952,3.36,92.70,13.60
250,2.59,93.00,15.75
552,3.31,94.50,12.20
1238,3.17,95.00,14.60
1249,2.71,95.00,10.00
862,3.24,95.10,14.00
284,1.23,96.00,12.60
802,5.92,96.00,NA
1164,#VALUE!,96.00,16.00
862,3.52,97.00,14.00
1129,3.32,97.00,NA
1207,3.38,97.00,23.00
1253,3.40,97.00,15.40
1274,2.64,97.00,19.00
294,2.96,98.00,15.50
592,4.37,98.00,16.00
1134,5.62,98.00,12.00
1170,2.79,98.00,16.50
1223,6.64,98.00,13.00
592,4.33,99.00,16.40
802,7.40,99.00,16.00
934,3.49,99.00,15.20
1125,#VALUE!,100.00,14.00
1131,4.53,100.00,13.00
1135,4.16,100.00,20.00
1196,#VALUE!,100.00,20.00
1201,#VALUE!,100.00,20.00
1206,3.71,100.00,18.10
1213,#VALUE!,100.00,17.00
1248,3.77,100.00,18.30
1252,#VALUE!,100.00,23.00
1260,#VALUE!,100.00,15.00
1278,#VALUE!,100.00,20.00
303,4.18,101.00,NA
1132,4.32,101.00,16.50
952,3.70,101.40,13.80
294,4.25,102.00,15.50
294,4.50,102.50,15.50
952,3.98,102.50,15.40
440,3.62,103.00,17.50
802,7.89,103.00,NA
1273,#VALUE!,103.00,19.00
294,4.78,103.50,16.50
862,4.42,104.00,16.00
1113,#VALUE!,104.00,17.30
1124,6.26,105.00,18.00
294,5.31,105.50,17.50
862,5.11,106.00,NA
702,4.93,107.00,NA
854,3.38,107.00,15.00
1296,#VALUE!,107.00,16.00
802,8.88,108.00,NA
932,5.23,108.00,18.00
932,5.33,108.00,19.60
932,5.38,108.00,21.60
932,5.39,108.00,21.60
952,4.44,108.00,17.00
952,4.59,108.00,16.50
1334,5.67,108.40,15.60
1334,5.81,108.50,16.00
1334,5.96,109.60,16.20
344,5.92,110.00,18.00
1165,2.98,110.00,14.00
1175,#VALUE!,110.00,22.10
1229,6.35,110.00,20.00
1230,#VALUE!,110.00,23.00
294,4.00,110.50,15.50
1334,6.24,111.00,17.20
15,2.41,113.00,20.10
294,5.55,113.00,18.00
862,5.56,113.00,19.00
362,7.98,114.00,18.00
294,7.73,115.00,18.00
570,7.32,116.00,22.00
1112,5.72,116.00,18.00
294,8.11,116.50,21.50
657,6.39,117.00,22.00
294,8.45,118.00,22.00
1334,7.46,118.70,20.10
1286,#VALUE!,119.00,19.00
1243,4.95,120.00,13.00
1251,#VALUE!,120.00,15.00
294,8.88,120.50,23.00
409,6.59,121.00,25.40
294,9.07,122.00,21.00
1334,7.99,123.00,21.40
337,8.42,124.00,22.70
1002,8.38,124.00,NA
1334,8.44,124.00,21.90
294,9.71,124.50,23.60
294,9.86,125.00,26.81
482,9.47,125.20,26.80
1004,11.73,125.50,22.28
482,9.41,126.00,26.30
1133,7.66,126.00,24.00
117,7.44,126.30,25.10
1228,#VALUE!,127.00,30.00
1334,9.30,127.50,23.50
992,8.45,128.00,NA
482,9.92,128.50,29.00
84,10.16,129.00,24.90
294,10.79,129.00,26.80
1334,9.79,129.20,25.50
294,10.94,130.00,27.40
605,11.59,130.00,30.00
1159,9.27,130.00,28.00
1257,7.00,130.00,33.60
294,11.02,130.90,28.20
332,10.85,131.00,32.00
482,10.21,131.00,30.80
989,9.37,132.00,NA
482,10.67,133.00,33.70
1216,#VALUE!,133.00,40.00
1117,#VALUE!,135.00,18.50
1120,#VALUE!,135.00,45.00
311,9.44,137.00,NA
1334,11.55,137.30,29.50
899,9.37,138.00,29.00
1288,#VALUE!,138.00,23.80
1317,#VALUE!,138.00,56.90
1334,11.77,138.00,29.60
185,9.24,139.50,33.80
899,9.54,139.50,31.00
192,11.84,140.00,NA
899,9.47,140.00,30.00
934,10.48,140.00,31.00
1225,#VALUE!,140.00,37.00
899,9.76,141.00,31.00
1114,10.72,141.00,45.10
1168,#VALUE!,142.00,37.00
185,10.08,142.40,37.20
482,11.60,143.80,36.70
934,10.94,144.00,33.00
1121,9.68,145.00,36.50
1343,10.14,147.00,30.00
1171,#VALUE!,148.00,35.60
508,11.53,150.00,NA
318,12.94,151.00,47.60
159,12.00,158.00,47.30
1276,#VALUE!,160.00,22.00
36,15.45,170.00,52.30
638,1.19,714.19,NA
167,0.81,732.28,9.48
747,1.43,753.84,9.60
760,1.27,758.21,9.80
291,1.71,779.37,10.70
852,1.43,780.63,10.40
1065,1.45,784.78,9.58
138,1.59,798.27,NA
132,1.46,807.05,10.00
16,2.02,814.27,12.00
219,1.61,828.71,NA
873,1.56,835.15,NA
378,0.89,839.28,NA
416,1.91,841.64,NA
42,1.70,843.08,10.10
450,1.75,850.41,NA
738,3.09,859.56,12.00
231,2.47,871.64,NA
235,1.64,871.98,NA
997,2.27,872.98,11.90
222,2.85,873.15,NA
322,2.78,875.16,14.00
308,1.60,879.06,NA
922,2.67,886.36,NA
57,2.93,886.88,NA
190,2.42,887.18,NA
700,1.73,890.22,15.00
1085,2.25,892.60,NA
940,2.42,893.80,14.00
768,2.89,897.34,NA
1074,2.17,897.70,13.50
561,2.88,899.09,NA
463,2.74,899.78,14.00
596,2.44,900.59,12.75
782,2.56,900.90,14.00
544,2.53,901.26,NA
522,1.57,902.35,NA
28,2.61,909.25,13.40
415,2.96,909.74,NA
33,2.80,914.00,10.00
766,2.08,914.63,12.00
935,2.48,920.67,NA
380,3.03,921.07,NA
1078,3.36,923.29,NA
840,2.75,924.91,NA
623,2.81,925.90,NA
962,2.67,927.44,NA
970,2.87,927.97,NA
692,2.35,930.04,14.00
367,3.01,932.15,12.00
1015,2.93,937.41,16.00
601,2.57,938.94,NA
954,3.58,940.05,16.00
891,3.27,941.76,12.00
585,2.82,957.02,NA
808,3.10,961.85,NA
959,2.85,964.85,NA
1007,3.70,966.81,15.00
1090,3.68,967.35,12.70
496,4.38,967.66,NA
63,2.94,968.23,NA
1072,2.16,968.54,NA
141,3.71,972.36,NA
609,2.75,973.22,14.90
54,2.28,974.12,NA
208,2.98,974.63,14.00
295,4.02,974.97,NA
712,3.74,975.65,NA
26,3.54,977.39,NA
17,2.79,977.60,NA
872,4.07,989.89,NA
774,3.95,990.57,16.00
1058,3.79,991.03,15.60
773,3.72,991.06,NA
285,3.50,991.34,14.00
910,3.99,992.84,NA
397,4.44,994.44,15.00
709,4.73,995.86,13.00
357,3.66,999.22,14.00
309,3.25,999.78,NA
330,4.07,1002.62,15.60
209,3.55,1003.13,14.10
536,2.92,1003.55,NA
741,4.56,1006.00,NA
571,4.17,1006.27,NA
671,3.85,1007.94,NA
1055,3.84,1008.70,18.00
22,3.23,1009.81,NA
575,4.35,1011.92,16.00
870,4.58,1012.31,16.00
946,3.95,1017.63,NA
327,3.93,1018.67,NA
725,4.70,1020.86,14.00
928,5.92,1021.26,NA
724,4.54,1026.92,18.00
533,3.93,1027.10,16.00
764,4.11,1033.94,NA
296,4.85,1038.16,NA
451,3.63,1039.25,NA
494,4.10,1039.73,14.00
419,3.99,1040.42,NA
527,3.92,1040.63,NA
751,5.92,1042.02,NA
1017,4.28,1042.53,NA
266,5.01,1042.82,NA
464,5.21,1048.20,NA
456,3.76,1052.66,16.00
1001,4.45,1054.57,13.00
472,5.44,1059.06,NA
83,5.07,1059.44,NA
560,4.87,1065.38,18.00
90,3.48,1067.46,NA
750,5.72,1068.44,NA
629,4.83,1069.61,16.00
802,7.59,1069.68,NA
617,5.42,1075.50,18.00
707,4.98,1076.15,NA
448,4.89,1077.85,20.60
435,4.69,1078.70,NA
104,3.50,1078.99,15.00
100,4.06,1081.09,22.00
445,3.79,1083.54,NA
1003,6.43,1083.86,NA
247,4.96,1084.49,NA
901,4.12,1084.95,NA
581,5.75,1087.58,NA
45,4.98,1093.25,NA
44,5.21,1094.64,NA
1006,4.18,1097.17,16.00
1360,5.13,1102.09,NA
376,5.55,1102.54,NA
1037,5.80,1104.19,NA
829,4.03,1104.36,NA
1365,5.34,1104.88,18.00
375,4.73,1107.67,16.00
1049,5.82,1112.49,16.00
663,3.97,1113.69,NA
145,5.92,1117.41,NA
564,6.84,1118.49,NA
261,5.37,1118.97,NA
580,5.38,1119.11,20.30
722,6.17,1120.29,19.00
578,4.23,1121.10,16.00
384,4.88,1121.37,NA
739,6.24,1124.70,NA
163,5.27,1125.67,NA
436,5.29,1125.80,20.00
67,5.18,1127.09,NA
398,6.48,1127.21,NA
788,4.14,1128.54,NA
218,5.89,1129.28,NA
649,5.81,1140.46,18.10
106,5.49,1142.31,18.00
272,8.58,1144.32,24.00
282,5.93,1144.71,NA
786,5.25,1145.03,NA
995,4.74,1145.11,NA
417,6.27,1148.63,NA
135,5.86,1149.15,18.00
790,6.44,1149.52,20.00
180,6.48,1150.74,20.00
364,7.07,1151.70,NA
514,3.45,1151.97,14.00
998,5.27,1157.61,18.00
363,5.68,1158.94,NA
1097,6.37,1160.44,24.00
882,5.93,1160.68,NA
566,8.50,1166.20,NA
555,6.79,1167.16,20.50
227,5.33,1168.37,NA
1033,4.56,1168.99,15.00
809,5.39,1170.39,NA
31,6.54,1171.92,NA
411,6.27,1177.73,18.00
460,6.49,1178.28,NA
1102,7.61,1178.56,NA
1083,8.32,1181.79,NA
61,7.04,1181.80,22.00
590,5.68,1182.24,NA
770,5.28,1183.39,NA
197,6.94,1185.88,23.20
240,7.98,1188.31,NA
1079,5.32,1189.92,20.00
1099,7.37,1192.08,NA
927,9.11,1199.57,NA
369,6.30,1202.10,NA
473,6.55,1202.71,NA
648,7.19,1206.76,22.00
736,6.79,1209.49,NA
1084,9.54,1209.50,NA
13,6.87,1212.71,19.60
515,6.20,1213.75,NA
127,5.73,1215.17,NA
619,6.88,1217.70,26.00
945,7.46,1217.98,NA
232,8.05,1218.26,NA
92,6.07,1219.12,18.00
226,5.60,1219.22,20.00
351,7.41,1220.57,NA
568,8.16,1221.22,24.00
40,9.01,1222.22,30.00
1018,7.79,1223.43,NA
409,6.43,1223.66,22.00
756,8.53,1223.93,NA
633,7.48,1227.56,NA
855,7.04,1228.21,NA
651,7.29,1229.55,28.00
41,6.93,1238.50,22.00
992,8.43,1239.92,24.00
949,6.88,1241.61,NA
347,7.62,1243.19,NA
1377,5.93,1243.71,NA
753,10.85,1244.95,NA
964,7.22,1246.51,NA
348,11.44,1247.32,NA
994,7.12,1248.69,22.00
137,7.54,1255.06,NA
32,8.64,1255.20,26.00
1092,8.35,1255.60,NA
68,6.00,1261.76,NA
117,6.98,1263.83,NA
1024,9.13,1264.76,NA
483,6.94,1265.01,25.00
130,6.13,1268.13,20.00
432,10.23,1268.25,28.00
716,7.92,1268.73,26.50
834,6.29,1269.82,NA
584,8.15,1270.24,NA
599,6.91,1270.79,22.00
778,6.86,1274.54,NA
105,6.76,1274.67,NA
273,7.98,1275.65,26.00
372,8.68,1279.15,NA
960,10.26,1280.30,28.00
1004,11.73,1281.17,22.28
82,7.56,1282.08,NA
1054,10.24,1282.20,NA
844,7.63,1282.85,NA
701,8.72,1282.99,NA
913,9.60,1283.01,NA
1059,7.95,1283.51,NA
76,7.94,1283.95,22.00
207,7.90,1286.08,29.00
150,6.97,1288.05,NA
621,6.14,1288.73,NA
698,7.58,1290.38,NA
972,8.03,1291.06,NA
861,8.49,1291.28,NA
103,9.99,1294.54,28.00
196,8.96,1296.02,30.00
602,7.32,1296.97,25.30
681,7.23,1298.29,26.80
465,8.79,1298.54,35.00
202,8.49,1298.55,NA
789,8.60,1299.66,NA
654,6.86,1301.75,20.00
109,6.41,1303.37,NA
1100,11.14,1305.26,NA
401,9.23,1308.23,NA
193,8.92,1309.08,25.50
586,7.90,1309.44,26.00
772,7.69,1310.14,22.00
305,7.98,1310.31,26.00
777,9.49,1310.35,26.00
696,9.87,1311.56,28.00
824,9.80,1311.85,30.60
963,8.16,1312.99,NA
1082,10.03,1313.69,26.40
974,10.07,1314.49,22.80
1334,9.78,1314.70,NA
387,8.28,1314.98,NA
1340,9.39,1314.98,26.50
883,9.41,1315.45,25.60
579,11.22,1319.85,NA
528,9.48,1319.97,28.75
303,9.20,1320.62,NA
189,9.45,1321.58,NA
177,8.43,1323.06,28.00
729,8.41,1325.08,NA
667,9.94,1325.17,NA
996,8.74,1328.35,24.00
165,9.70,1328.99,NA
1026,10.12,1331.37,28.00
842,11.49,1331.79,NA
981,9.83,1332.46,NA
821,10.33,1336.47,28.00
468,9.05,1336.62,NA
1087,8.52,1337.54,24.00
594,9.83,1337.75,NA
94,9.57,1339.62,NA
670,7.57,1339.93,28.00
230,8.92,1343.08,26.00
939,10.85,1347.00,NA
907,10.76,1349.33,NA
673,9.71,1349.85,NA
317,10.99,1350.81,NA
201,10.78,1350.82,NA
1333,6.50,1351.61,18.00
1010,10.19,1352.59,NA
735,11.35,1352.68,35.00
779,8.38,1353.81,38.00
880,11.44,1355.99,NA
616,10.36,1356.59,NA
368,10.42,1358.05,25.60
126,12.41,1359.22,NA
299,9.86,1361.08,26.00
1366,10.41,1361.50,NA
759,8.09,1363.69,NA
301,9.24,1365.03,30.00
281,11.11,1365.15,NA
845,11.33,1366.99,NA
1053,11.15,1367.39,NA
192,10.60,1368.24,30.00
612,11.56,1368.25,29.00
628,10.70,1370.62,30.00
823,9.40,1374.73,NA
1342,10.28,1375.73,NA
924,9.16,1378.35,26.00
666,11.76,1382.47,NA
512,11.53,1383.01,NA
19,12.48,1383.03,NA
155,12.13,1384.01,NA
894,9.74,1387.42,NA
255,11.04,1390.27,NA
908,8.70,1391.66,NA
543,10.87,1393.25,30.00
640,9.95,1398.73,NA
684,9.70,1401.61,NA
304,8.95,1402.76,NA
758,11.33,1403.50,32.00
142,9.13,1403.95,NA
558,10.57,1404.62,NA
1061,10.38,1404.92,NA
389,9.45,1405.24,NA
947,11.07,1405.71,34.00
919,9.50,1406.20,NA
500,11.00,1406.66,NA
461,11.26,1409.13,NA
849,9.41,1409.55,26.00
350,10.62,1416.52,NA
133,11.05,1416.75,NA
216,11.32,1417.30,33.00
89,10.19,1417.43,NA
353,9.35,1417.79,NA
402,9.33,1417.85,30.00
355,9.87,1417.98,29.90
449,10.14,1418.29,NA
462,9.19,1418.96,NA
1008,12.24,1419.16,NA
507,10.50,1419.28,NA
748,9.86,1420.02,NA
346,10.07,1420.90,NA
1048,10.93,1422.06,NA
96,10.42,1423.68,NA
311,9.44,1424.49,30.00
332,11.54,1425.98,33.10
737,10.19,1426.27,NA
466,11.59,1427.50,NA
400,9.96,1429.40,40.00
278,9.66,1431.36,NA
851,12.07,1432.72,32.00
93,10.32,1432.90,NA
287,12.13,1432.91,31.20
509,9.93,1433.79,30.00
50,10.92,1435.18,NA
903,11.68,1435.39,30.60
1023,10.25,1437.21,30.00
926,11.44,1440.20,42.00
122,12.41,1442.21,32.00
276,10.13,1443.11,36.30
1029,12.48,1445.17,42.00
625,11.79,1447.48,29.00
1069,12.04,1448.27,NA
906,9.61,1453.71,26.00
868,8.70,1455.75,NA
315,11.78,1456.45,47.20
336,10.63,1456.60,NA
1107,9.98,1458.02,37.00
265,10.31,1458.64,30.00
953,10.59,1460.95,NA
971,11.02,1463.31,NA
366,10.95,1467.12,NA
323,8.94,1467.20,NA
627,12.48,1467.90,NA
333,12.39,1467.91,NA
146,11.32,1468.66,35.00
58,10.48,1468.94,NA
982,11.87,1470.08,32.00
371,10.47,1470.12,NA
110,11.20,1470.74,36.50
582,12.66,1471.65,NA
519,12.69,1472.06,NA
195,11.84,1472.86,34.30
228,10.77,1473.57,NA
1022,10.59,1476.13,NA
263,11.00,1478.87,NA
139,11.78,1481.93,NA
520,10.95,1485.41,NA
1038,12.38,1486.23,NA
183,12.76,1489.25,NA
370,9.43,1489.73,NA
745,11.92,1494.28,NA
505,12.46,1495.55,NA
478,11.57,1496.92,NA
604,11.74,1497.69,NA
379,11.89,1500.44,30.00
182,12.76,1502.09,NA
374,11.35,1504.86,35.00
243,8.60,1506.64,NA
254,10.68,1506.74,NA
6,11.48,1508.36,NA
471,12.50,1518.13,NA
1035,11.51,1520.60,30.00
256,11.38,1523.34,NA
814,11.99,1526.48,42.80
1014,12.31,1528.27,NA
1349,10.81,1531.31,NA
911,11.11,1535.03,NA
339,12.44,1535.17,NA
1379,12.12,1538.16,37.50
791,12.23,1539.91,NA
523,11.64,1545.08,NA
863,11.00,1551.01,NA
173,12.22,1552.05,NA
690,12.29,1560.35,32.00
934,12.80,1565.09,36.00
973,12.69,1566.43,NA
860,12.52,1569.05,44.40
39,12.76,1575.28,54.00
229,10.38,1575.35,NA
179,11.39,1575.38,NA
865,10.99,1575.42,NA
678,11.43,1577.51,NA
531,11.51,1578.85,35.00
944,12.65,1582.63,NA
905,12.74,1584.21,NA
121,12.40,1600.10,NA
1019,11.98,1604.91,NA
377,12.59,1623.58,NA
334,12.60,1650.74,35.00
798,12.71,1674.55,NA
948,11.98,1685.90,NA
1,4.89,NA,NA
2,2.30,NA,12.00
3,2.62,NA,14.00
4,9.09,NA,26.00
5,8.27,NA,NA
7,6.19,NA,20.00
7,3.78,NA,14.00
7,4.29,NA,13.00
8,9.73,NA,NA
9,7.95,NA,NA
10,5.75,NA,22.00
11,8.25,NA,NA
12,6.07,NA,NA
14,2.92,NA,NA
15,7.82,NA,NA
15,7.85,NA,23.60
15,7.94,NA,23.40
15,1.47,NA,10.60
15,2.12,NA,11.30
15,3.11,NA,13.30
15,4.07,NA,15.80
15,5.89,NA,18.70
15,8.68,NA,21.00
17,1.94,NA,12.00
17,1.34,NA,10.90
17,0.33,NA,6.55
17,0.27,NA,6.01
18,5.92,NA,NA
18,1.60,NA,7.75
18,0.50,NA,6.00
18,0.82,NA,7.50
18,0.99,NA,6.60
18,1.15,NA,7.60
18,1.48,NA,8.00
20,3.67,NA,NA
20,4.54,NA,19.60
20,4.65,NA,21.00
20,0.92,NA,9.66
20,0.93,NA,9.66
20,0.57,NA,8.57
21,3.84,NA,NA
21,0.25,NA,4.80
21,0.49,NA,6.20
21,0.90,NA,10.00
21,1.64,NA,9.40
23,2.37,NA,NA
24,5.41,NA,NA
25,3.84,NA,16.00
27,10.00,NA,NA
29,2.88,NA,NA
29,4.42,NA,13.90
29,3.16,NA,10.00
29,1.57,NA,8.89
29,1.47,NA,9.11
29,0.78,NA,7.56
30,8.68,NA,NA
31,7.85,NA,22.80
31,6.59,NA,19.80
31,4.41,NA,14.80
34,3.45,NA,NA
35,8.13,NA,NA
36,9.62,NA,NA
36,0.13,NA,4.72
36,0.41,NA,6.09
36,5.62,NA,15.00
36,8.82,NA,26.00
36,9.80,NA,29.00
36,12.68,NA,44.00
37,6.79,NA,20.00
37,1.23,NA,12.10
37,1.43,NA,11.70
37,2.15,NA,13.80
37,7.44,NA,35.00
37,5.24,NA,25.00
37,2.28,NA,13.50
38,3.74,NA,NA
39,13.14,NA,55.00
42,2.07,NA,11.70
43,10.81,NA,NA
45,5.12,NA,16.00
46,3.57,NA,NA
47,8.26,NA,24.00
48,6.50,NA,20.00
49,7.34,NA,NA
51,0.51,NA,6.00
52,8.08,NA,NA
53,10.87,NA,NA
55,6.20,NA,NA
55,2.11,NA,11.00
55,2.14,NA,11.40
55,2.30,NA,11.00
55,2.14,NA,11.70
55,2.44,NA,11.00
55,6.27,NA,21.40
55,6.68,NA,20.20
56,7.75,NA,NA
59,4.59,NA,18.00
60,4.96,NA,22.00
61,7.18,NA,23.80
61,7.35,NA,24.00
62,4.52,NA,NA
64,4.80,NA,20.00
65,3.08,NA,NA
66,4.22,NA,16.00
66,4.86,NA,18.00
69,8.35,NA,NA
70,2.86,NA,NA
71,12.39,NA,NA
72,11.04,NA,NA
73,7.60,NA,24.00
73,7.63,NA,26.00
74,4.67,NA,NA
75,6.67,NA,NA
76,4.71,NA,19.20
76,2.46,NA,14.00
76,4.42,NA,18.60
77,1.90,NA,12.00
77,2.38,NA,17.10
77,2.62,NA,18.00
77,2.87,NA,18.10
77,3.18,NA,19.00
77,5.83,NA,22.80
77,4.61,NA,22.10
78,6.61,NA,22.00
79,3.14,NA,NA
79,0.92,NA,10.80
79,0.24,NA,7.46
80,3.72,NA,NA
81,12.99,NA,NA
81,6.75,NA,19.00
82,5.75,NA,21.60
82,0.73,NA,9.76
82,1.02,NA,10.75
84,12.62,NA,NA
85,4.28,NA,16.00
86,11.84,NA,NA
87,3.34,NA,15.70
88,3.17,NA,14.00
88,3.19,NA,16.80
88,3.21,NA,16.90
88,3.29,NA,17.40
91,5.06,NA,16.00
95,2.22,NA,NA
97,7.73,NA,25.00
98,11.01,NA,45.00
98,11.62,NA,41.00
98,11.03,NA,40.30
98,11.05,NA,41.40
99,8.65,NA,NA
100,5.03,NA,21.80
100,5.03,NA,22.00
101,2.17,NA,11.00
101,2.20,NA,11.41
101,0.06,NA,3.64
101,0.38,NA,6.92
101,0.80,NA,8.00
101,2.20,NA,11.40
101,3.18,NA,14.00
101,0.35,NA,7.50
101,0.00,NA,8.00
102,3.13,NA,NA
103,0.32,NA,3.44
107,11.58,NA,35.00
107,12.24,NA,36.60
108,8.56,NA,NA
109,2.79,NA,16.80
110,0.31,NA,4.37
110,3.00,NA,14.00
110,5.77,NA,20.00
110,9.16,NA,40.50
111,6.70,NA,NA
112,5.21,NA,NA
113,0.58,NA,NA
114,1.10,NA,NA
114,2.96,NA,14.60
114,2.94,NA,13.65
115,11.62,NA,NA
116,11.44,NA,32.00
117,7.59,NA,25.41
117,6.17,NA,21.60
118,2.92,NA,16.00
118,3.00,NA,16.90
119,12.64,NA,NA
120,0.59,NA,NA
123,6.89,NA,NA
124,11.17,NA,NA
125,10.39,NA,NA
128,9.33,NA,28.00
128,9.34,NA,28.00
129,4.35,NA,16.00
129,9.73,NA,27.90
131,12.27,NA,NA
132,3.65,NA,12.00
133,9.93,NA,24.30
133,9.78,NA,24.30
133,7.65,NA,19.20
134,5.12,NA,NA
135,5.88,NA,19.00
135,5.93,NA,20.00
136,6.42,NA,20.00
136,6.45,NA,20.80
136,6.67,NA,21.40
140,8.07,NA,32.00
143,7.56,NA,NA
144,7.21,NA,24.00
145,2.94,NA,11.65
145,0.71,NA,6.80
147,6.31,NA,NA
147,6.36,NA,22.70
147,6.53,NA,24.40
147,6.78,NA,24.50
147,7.06,NA,25.00
148,7.73,NA,NA
149,7.15,NA,22.00
151,8.18,NA,NA
153,6.16,NA,NA
153,1.42,NA,11.50
153,0.42,NA,5.74
154,4.16,NA,NA
155,0.90,NA,6.60
156,1.58,NA,9.10
156,4.10,NA,13.50
156,1.72,NA,9.80
156,1.89,NA,10.20
157,11.81,NA,NA
158,3.48,NA,NA
159,10.93,NA,30.00
159,11.03,NA,36.00
159,13.98,NA,62.20
160,8.74,NA,NA
161,8.13,NA,30.00
162,11.28,NA,NA
163,1.65,NA,10.35
163,1.64,NA,10.60
163,0.73,NA,7.50
163,2.03,NA,11.70
164,8.56,NA,NA
166,6.91,NA,25.40
168,2.77,NA,NA
168,0.58,NA,8.18
169,11.04,NA,NA
170,10.39,NA,40.00
171,1.41,NA,NA
172,10.69,NA,NA
174,2.12,NA,NA
174,3.22,NA,14.00
175,11.92,NA,32.00
176,2.88,NA,NA
178,5.64,NA,NA
181,3.55,NA,15.00
182,0.14,NA,4.52
183,8.65,NA,23.40
184,9.93,NA,NA
185,9.21,NA,NA
185,11.94,NA,49.05
185,12.04,NA,47.70
185,12.24,NA,48.80
185,6.63,NA,20.00
185,6.70,NA,22.40
185,5.17,NA,19.50
185,5.51,NA,20.00
185,12.24,NA,48.80
185,8.01,NA,28.50
185,8.10,NA,27.00
185,0.22,NA,7.50
186,10.97,NA,40.00
186,7.33,NA,19.45
186,10.97,NA,30.00
186,10.98,NA,28.00
187,8.99,NA,26.00
187,9.36,NA,29.00
